odour stim,09/04/2021 Male 1,09/04/2021 Male 3,16/04/2021 Female 5,21/04/2021 Female 1,21/04/2021 Female 4,21/04/2021 Female 11,22/04/2021 Female 1,22/04/2021 Female 8,22/04/2021 Female 13,23/04/2021 Female 4,23/04/2021 Female 6,23/04/2021 Female 7,23/04/2021 Female 10,23/04/2021 Female 11
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,3.7963,13.7152,12.4132,6.0577,11.8126,6.9973,2.0648,4.5575,3.3547,2.6927,2.7798,2.4769,7.3977,4.3544
0,3.7741,13.8796,13.1517,6.391,10.8153,7.2876,2.0182,4.4619,3.237,2.5984,2.692,2.199,7.7982,4.2679
0,3.4873,13.5998,12.3801,6.0186,12.0013,7.9766,1.8486,4.4886,3.4601,2.7009,2.781,2.2205,7.3974,3.9493
0,3.5891,14.2562,12.1651,6.4183,11.9361,7.374,2.1541,4.9202,3.417,2.6677,3.0393,2.4884,7.6165,4.4218
0,3.5485,14.2745,11.9857,5.7718,12.1905,8.0901,2.2795,4.6933,3.3312,2.4907,3.0909,2.3806,7.5669,4.5771
0,3.5672,15.0486,11.4772,5.425,12.4485,7.1629,2.2072,5.1082,3.6458,2.568,2.9386,2.1881,7.3881,4.6148
0,3.7772,14.9088,12.1423,5.5766,10.4679,8.0088,1.7291,4.8496,3.5331,2.551,2.9575,2.2832,7.6563,4.4981
0,3.7389,14.724,11.4518,5.6117,9.4673,7.5077,2.0747,5.2214,3.6157,2.4686,2.8448,2.4296,7.7302,4.3189
0,3.7713,14.5258,11.271,5.6241,9.9502,7.4074,2.0546,5.1848,3.3874,2.5139,2.7663,2.3452,7.3525,4.1577
0,3.7258,14.6006,10.894,5.7285,10.1942,6.6088,1.9267,5.1102,3.3881,2.6061,2.7896,2.5159,7.6938,4.2135
0,3.735,14.5802,11.2807,5.4708,11.2114,6.9162,1.9423,4.6945,3.4504,2.6351,2.8912,1.9053,7.8179,4.196
0,3.5856,15.0739,11.4143,5.5898,12.1975,6.9402,1.8124,4.8048,3.4847,2.5863,2.5354,1.903,7.7198,4.207
0,3.5377,15.45,11.5813,5.7524,11.4334,6.9859,2.1319,4.5452,3.1834,2.7743,2.2919,2.1345,7.392,4.404
0,3.6663,15.9564,11.3437,5.601,11.4169,7.3044,2.0509,5.2012,3.4192,2.8273,2.6354,2.1556,7.8852,4.6101
0,3.4067,15.2862,11.3946,5.7242,11.6013,8.0956,1.9103,5.0605,3.2814,2.7424,2.6631,2.2221,7.7845,4.5705
0,3.3519,15.7132,10.1633,5.4793,11.1908,7.5511,1.9816,5.1804,3.5129,2.4343,2.6873,2.2797,7.8647,4.3374
0,3.5829,14.8384,9.8418,5.3087,11.0144,7.9124,2.0124,4.9751,3.4444,2.7764,2.5955,2.5417,7.6081,4.6316
0,3.3366,15.38,10.4049,5.1023,11.935,8.2828,1.9705,4.9391,3.5956,2.6084,2.7333,2.3943,7.3539,4.6364
0,3.4421,14.4607,11.4351,4.7823,11.4065,7.2221,1.6657,4.6834,3.5119,2.7179,2.81,2.4516,6.799,4.0811
0,3.4763,14.5141,11.2468,5.0937,11.1875,8.2469,1.7076,4.9569,3.4813,2.4559,2.6408,2.4781,7.1782,4.0053
