odour stim,08/06/2021 Male 1,08/06/2021 Male 10,09/06/2021 Male 1,09/06/2021 Male 3,09/06/2021 Female 4,09/06/2021 Male 5,09/06/2021 Male 9,09/06/2021 Female 11,09/06/2021 Male 12,10/06/2021 Male 5,14/06/2021 Female 2,15/06/2021 Female 1,21/06/2021 Female 1,29/09/2021-male1,29/09/2021-male7,30/09/2021-female10,01/10/2021-male8,08/10/2021-female6,13/10/2021-female4
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,8.8672,3.6005,8.3181,16.6416,9.788,2.7057,11.4465,9.3387,4.4187,5.8201,7.4952,4.4187,4.1389,2.4993,6.28,7.098,13.5775,14.2458,9.0152
0,8.5733,3.2335,8.0737,16.1684,10.2804,2.5545,10.9009,8.7328,4.1682,5.5511,7.5636,4.1682,4.2592,1.9789,7.0308,6.9334,12.657,14.3107,7.8528
0,8.1434,3.6381,7.8193,15.3607,9.5697,2.48,10.9167,8.943,5.0309,5.8798,7.5461,5.0309,4.059,2.4531,6.263,7.5664,12.795,13.4817,7.6696
0,8.5083,3.21,7.5655,14.8523,9.977,2.6076,10.8455,8.7437,4.8024,6.0395,7.6068,4.8024,4.1261,2.4332,6.753,7.4944,12.9297,14.3695,5.6576
0,8.1828,3.3398,7.6381,14.885,9.9828,2.3091,10.0385,9.5709,4.7293,5.7404,7.5695,4.7293,3.9969,2.3522,6.3793,8.0889,11.9229,12.8664,8.4048
0,8.9349,3.157,6.9283,15.0972,10.5172,2.5577,10.0678,9.9747,4.5599,6.0494,7.127,4.5599,4.0054,2.0652,6.8537,8.44,12.1374,14.0794,7.5776
0,9.3126,2.9431,6.9762,15.8801,10.1292,2.2746,9.7567,8.8091,4.8104,5.9423,7.1129,4.8104,4.1537,2.2776,5.6623,8.3918,12.5604,13.4748,7.2848
0,9.645,3.1868,6.6751,15.1429,9.952,2.2035,9.6728,9.4142,4.4152,6.0314,7.2966,4.4152,4.0012,2.2337,5.7543,9.4689,11.8768,13.5069,8.0856
0,10.8359,3.6082,6.5617,15.193,10.0188,2.4583,9.9103,9.9904,4.5183,5.8213,6.9786,4.5183,3.8417,2.3721,5.8718,7.6314,12.5755,13.4534,4.3288
0,10.3977,4.0103,6.1649,14.306,9.8226,2.5298,10.3343,10.8199,4.9135,6.3227,7.6434,4.9135,4.0334,2.1147,5.6077,8.2797,11.6231,13.8855,7.4
0,9.5041,3.559,5.8708,15.8325,10.0215,2.217,10.9901,10.3906,4.536,6.6883,7.2976,4.536,4.0458,2.5606,6.642,8.8713,12.009,13.5786,5.1976
