odour stim;16/11/2020 Female2;17/11/2020 Male1;17/11/2020 Male7;18/11/2020 Female1;19/11/2020 Female1;20/11/2020 Female1;20/11/2020 Female6;23/11/2020 Female1;25/11/2020 Female1;16/01/2021 Female1;16/01/2021 Female2;17/02/2021 Female1;17/02/2021 Male4
;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V
0.5;9.2286;4.6909;6.0029;7.0671;20.763;7.8472;20.6191;5.7998;7.4764;14.3583;16.3322;5.5633;17.6413
0.5;8.8579;4.666;5.9534;5.8543;19.8154;8.5923;20.7203;6.2603;7.1791;16.1548;16.4583;6.1445;18.4249
0.5;8.8911;4.749;6.2677;6.3537;19.9616;8.6758;19.7745;6.1802;7.2773;15.7045;16.6962;5.3123;19.1828
0.5;9.3035;4.9362;6.4221;5.2271;21.8742;8.707;20.712;6.4783;7.082;16.2745;15.2566;5.0214;19.7188
0.5;9.2075;4.3047;6.2408;5.7666;21.6486;9.5774;20.5943;5.9211;8.1193;16.7403;13.9889;5.5585;19.5862
0.5;9.3071;5.0629;5.9671;5.9796;21.5045;13.1615;21.4713;6.6023;7.7256;17.1231;13.5858;6.1005;18.9554
0.5;8.9937;4.3922;6.1009;5.3842;20.9057;13.0794;21.7503;5.2453;7.7098;16.2459;14.2672;6.4775;17.878
0.5;9.7912;3.9028;5.5639;4.4709;19.6129;11.9135;21.471;5.3818;6.3608;16.2708;15.5865;6.2873;18.9444
0.5;9.2737;4.1713;5.8411;5.075;18.3553;12.7004;20.8958;7.1158;5.7088;17.3717;17.3082;5.4502;18.7001
0.5;9.4607;3.9007;5.8844;5.2337;20.3926;11.8577;21.2249;7.4934;5.3387;17.0027;17.1179;5.4572;18.3324
0.5;9.054;3.8418;5.1291;6.4905;19.3394;10.8877;20.7916;7.0604;5.2854;17.6352;18.3385;6.0696;16.232
0.5;9.3975;4.6812;5.6042;6.0405;18.9558;11.2059;18.9568;6.4901;4.8624;17.4445;16.4384;6.5806;18.6141
0.5;9.6841;4.4348;5.508;6.2956;19.698;12.2569;16.3845;7.2541;4.3731;16.2944;17.4414;5.5646;17.5201
0.5;8.9709;4.8653;4.3675;6.3064;19.4481;13.0801;15.7753;6.7858;4.1928;17.1008;18.2335;6.5312;17.2413
0.5;9.9528;4.1373;5.7132;6.282;18.8197;14.5889;14.0783;5.7646;4.308;16.3308;18.6378;6.5541;16.4652
0.5;10.4886;4.1715;5.8919;6.1033;17.8842;14.321;14.9456;6.1091;4.491;16.2808;17.8069;7.0413;16.2477
0.5;9.8831;4.4428;6.3624;6.2639;18.6233;12.3639;15.1617;6.1177;4.1771;15.7073;16.8099;7.5816;14.8755
0.5;10.4001;4.7998;6.0409;5.4159;18.6153;11.3885;15.2078;6.178;5.0808;17.2576;17.7413;6.9428;14.5578
0.5;8.9042;4.6867;5.9841;5.5414;18.3267;10.7326;14.3056;7.2967;5.4608;18.5808;17.5697;7.2239;14.6346
0.5;8.0349;5.3321;6.0127;4.9855;17.0691;11.4712;12.1433;6.4998;5.4979;18.2443;15.4913;7.5318;15.4848
0.5;8.0662;5.9031;5.9726;5.0626;16.9198;11.145;12.2179;6.5156;5.9454;18.6663;14.6253;8.0122;14.9675
0.5;7.6881;5.2087;5.8707;5.0819;18.706;10.9232;11.9649;7.9343;6.6598;17.592;13.9078;8.1074;15.9037
0.5;7.8039;5.4853;6.7155;4.4975;18.6164;11.3084;11.1074;6.7688;6.239;17.2822;12.2037;7.2037;15.416
0.5;7.3357;5.2381;6.7603;3.982;17.215;11.0463;10.5165;7.6766;5.7818;19.3011;10.8356;6.8777;15.9987
0.5;7.7431;5.5184;6.7972;4.8911;18.0135;10.6067;11.1793;6.6015;6.0295;17.2513;9.2231;6.7033;15.5768
0.5;6.5503;5.5405;7.0555;5.675;18.7805;10.511;11.6621;6.5886;6.0034;16.9393;7.9292;6.9348;15.1323
0.5;6.5877;5.887;7.0892;5.3091;17.5599;9.6899;12.0097;5.8885;6.0175;18.6707;7.1743;6.7643;15.6186
0.5;7.4734;5.5901;6.8796;5.054;16.6872;8.2167;12.4606;5.9911;5.1602;18.5233;6.7532;7.094;15.931
0.5;6.4127;6.3265;7.1878;5.3264;15.9668;8.8513;12.1638;5.8732;6.099;17.8363;6.2167;7.4224;16.1127
