odour stim,29/09/2020 Female4,29/09/2020 Male6,30/09/2020 Female2,30/09/2020 Male4,30/09/2020 Female7,16/10/2020 Female4,21/10/2020 Female3,16/10/2020 Female4,30/10/2020 Male3,02/11/2020 Female3,08/11/2020 Female5,25/02/2021 Male5
,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V
0.5,1.6847,7.1837,2.8242,1.8738,2.6967,3.7643,7.5409,3.61,4.8826,1.4342,1.6627,3.0935
0.5,1.6318,7.6681,2.9949,1.8503,2.4421,4.3534,6.9987,3.5168,4.7619,1.4806,1.8186,3.1862
0.5,1.724,8.1346,2.8378,2.1198,2.9054,4.9309,6.7221,3.3887,4.6556,1.2033,1.8208,3.0967
0.5,1.6511,7.7595,2.9124,1.998,2.664,5.3532,7.0831,3.5229,4.559,1.45,1.6837,2.9989
0.5,1.5107,7.8297,2.8673,1.8919,2.7597,5.1001,6.7268,3.3498,4.468,1.476,1.909,3.095
0.5,1.6389,8.1992,2.8708,1.9921,2.8437,4.8372,7.0387,3.4321,4.451,1.4009,1.569,3.2648
0.5,1.6003,9.8067,2.8102,2.0606,4.6852,4.5898,7.1086,3.4859,4.3869,1.5023,1.9589,3.4584
0.5,1.5896,9.8392,2.7551,1.959,5.4255,5.2126,6.2388,3.5346,4.5894,1.5093,1.7703,3.2681
0.5,1.5883,9.6563,2.8801,1.9883,5.78,6.0803,6.3007,3.7002,4.6928,1.3123,1.7703,4.164
0.5,1.7044,8.3663,2.8626,2.1041,6.6918,6.4289,6.9958,3.5943,4.7178,1.5099,1.937,4.1264
0.5,1.5507,8.3768,2.8807,2.1911,6.9115,7.1838,6.0931,2.6192,4.6728,1.3476,1.7355,4.1859
0.5,1.6286,9.5,3.3127,2.0949,7.6057,7.8181,6.1162,3.1009,4.5952,1.5699,1.7539,4.1239
0.5,1.6777,10.0652,3.0178,2.3232,7.7193,8.5237,6.3113,2.9339,4.0143,1.433,1.8628,3.6976
0.5,1.5192,10.4079,3.1718,2.0559,7.6923,9.1413,6.8105,3.1902,4.5605,1.482,2.0834,3.8801
0.5,1.7252,10.1083,2.907,2.1179,7.6911,9.5828,7.2368,3.4364,4.9572,1.6476,2.3573,4.1018
0.5,2.3833,9.5455,2.8986,2.1587,8.2724,9.2206,6.5893,3.4055,4.9312,1.4967,2.2436,3.9279
0.5,2.8299,8.9162,3.113,2.0311,8.5688,9.5443,7.4548,3.7009,4.9127,2.0759,2.4194,4.197
0.5,3.3838,9.682,2.9312,2.0526,9.0292,9.5041,7.1903,3.3901,4.8505,2.4141,2.3838,3.9822
0.5,3.9567,9.1546,3.0424,2.1247,9.4477,9.5619,6.9772,3.1931,4.6825,2.2561,2.4124,4.3001
