odour stim;16/11/2020 Male4;16/11/2020 Female10;17/11/2020 Female3;17/11/2020 Female9;18/11/2020 Female3;18/11/2020 Female8;19/11/2020 Male5;19/11/2020 Female10;20/11/2020 Male10;23/11/2020 Male5;23/11/2020 Female9;25/11/2020 Female4;16/02/2021 Male6
;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V
0.5;3.4697;4.1597;14.4742;8.8195;14.7487;8.5497;11.1678;22.9974;10.6285;7.8433;7.2173;12.7098;13.1279
0.5;2.5489;3.2407;14.1417;8.4509;14.9803;9.4404;10.6074;21.2615;12.8778;6.4136;7.3936;11.69;11.9308
0.5;2.7745;4.0883;14.4398;7.067;12.3908;9.4086;10.2471;19.7576;12.5072;7.245;7.0255;11.0305;11.4194
0.5;2.6996;4.1406;13.6197;6.1545;11.8423;8.9854;9.313;20.0221;10.1852;6.5814;6.7896;12.0956;11.1692
0.5;2.6525;4.0327;13.9029;6.0269;12.2383;8.4653;10.7634;20.1315;11.1341;4.7055;7.8028;12.1181;9.2154
0.5;3.3934;3.7419;14.0123;7.3483;13.1872;8.9714;10.1377;18.937;10.5987;4.5976;8.6699;11.5605;7.7351
0.5;3.9819;3.0783;13.6842;7.079;12.7009;7.965;10.6513;16.8759;12.1816;4.5082;7.4241;10.2877;8.4509
0.5;4.0496;2.8996;14.0054;8.0792;13.7911;8.8985;11.1483;14.666;12.5669;4.9979;6.7325;10.161;8.5024
0.5;4.2062;3.2599;13.6632;7.722;13.7825;9.6456;11.5632;15.7756;13.608;4.2503;6.108;10.9532;10.2388
0.5;4.2867;2.8067;13.0872;8.1656;15.1961;10.2273;12.4182;15.5575;13.2892;3.1443;6.145;11.517;11.6541
0.5;4.3445;2.7802;12.8489;6.5944;16.1541;8.8797;11.1125;12.7531;13.4797;3.7648;6.8672;11.3412;11.2772
0.5;5.0271;2.2197;13.1114;7.0527;13.7995;8.8559;10.1594;12.2823;13.0052;4.4388;6.2985;12.6729;11.9402
0.5;4.5998;3.1655;12.773;7.2781;13.2349;10.5259;9.322;13.9629;13.2418;4.4762;7.0658;12.1184;12.2902
0.5;5.1013;3.27;12.4212;7.686;13.1888;8.8793;9.8909;14.7104;12.7732;6.4604;6.4258;11.0779;13.7181
0.5;4.0938;3.7268;12.9179;5.7043;14.438;9.3227;10.2315;16.1399;12.6471;7.1942;7.2864;10.9748;13.3405
0.5;3.5556;3.8497;13.1967;7.0065;14.9069;9.7812;11.246;17.4963;12.6817;8.5927;6.5314;11.2871;12.8403
0.5;3.2901;3.7483;12.3226;10.0939;15.0095;8.4762;11.1547;20.3431;11.0837;9.1178;6.4569;11.4158;11.8895
0.5;3.5649;3.8983;12.579;10.7272;16.1356;8.2229;10.2755;21.809;13.5065;6.8877;6.2377;12.2193;11.4781
0.5;4.015;3.3387;12.6402;9.9099;16.368;8.5313;10.3642;20.8484;13.8918;5.3144;6.9855;12.0931;11.5399
